id;V-id_video;V-content;V-norm_bitrate;V-complexity;V-complexity_class;QoA_VLCresolution;QoA_VLCcaching;QoA_VLCbitrate;QoA_VLCframerate;QoA_VLCdropped;QoA_VLCaudiorate;QoA_VLCaudioloss; QoA_BUFFERINGtime;QoD_screen_size;id_user;QoU_age;QoU_sex;mos
1;82;Games;10.224898994402672;7.342974738675389;2;360;200;363.8888889;29.92592593;0;61.92592593;2;1055.732;1920x1200;55;22;women;3
2;83;Games;12.853567398049956;8.065626757294797;3;360;800;452.7777778;29.96296296;0;63.40740741;3;2196.701;1920x1200;60;20;men;4
3;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;1412;0;1;0;4;1197.139;1920x1200;50;26;women;1
4;22;Sports;18.99129562519022;9.298578866975943;3;720;400;2217.666667;26.37037037;12.33333333;39.2962963;12.22222222;823.512;1920x1200;11;26;men;2
5;52;Cartoons;7.801982650121881;6.488763492380295;1;720;400;3108.333333;29.88888889;0;43.51851852;1;1676.742;1920x1200;33;26;women;5
6;31;Documentary;5.3956730871217315;5.323968209279923;0;360;200;766;0;0;0;3;1152.22;1920x1200;18;25;men;1
7;22;Sports;18.99129562519022;9.298578866975943;3;720;400;1830.777778;29.81481481;0;43.62962963;1;2045.306;1920x1200;11;26;men;3
8;81;Games;12.242662262985103;7.91182450052908;2;360;200;926.6666667;31.22222222;1;63.55555556;3;1967.719;1366 x 768;53;26;women;3
9;32;Documentary;12.654185676416692;8.016248746371058;3;480;800;852.4444444;29.92592593;0;52;3;1844.696;1366 x 768;20;22;men;4
10;63;Lessons;2.182599744841972;2.4652661825137927;0;480;400;1545;0;0;0;3;759.317;1366 x 768;42;28;men;1
11;72;Movies;8.76286260877581;6.855607291109794;1;360;200;476;0;0;0;3;665.723;1366 x 768;45;26;women;1
12;13;News;5.411190697380056;5.333038831296158;0;480;400;1135.888889;29.88888889;0;55.74074074;3;1082.186;1366 x 768;4;21;women;4
13;42;Music;0.8546425304049192;-0.4961127182810612;0;720;1000;3350.222222;30.48148148;0;44.03703704;1;1501.158;1920x1200;28;21;men;5
14;43;Music;8.63852382999514;6.810469349964349;1;360;200;700.8888889;29.74074074;0;52.81481481;2;1649.248;1920x1200;29;29;men;5
15;21;Sports;17.37365140192851;9.01738984183051;3;1080;1000;3144.666667;29.81481481;0;43.2962963;2;1898.981;1920x1200;8;24;men;5
16;82;Games;10.224898994402672;7.342974738675389;2;360;200;446.8888889;29.59259259;0;61.55555556;3;2215.695;1920x1200;56;26;men;4
